DataLoader: found 20 files matching finewebedu10B/finewebedu_train_*.bin
/workspace/nanoGPT_1GPU_SPEEDRUN/train_gpt2_3060ti.py:307: UserWarning: The given buffer is not writable, and PyTorch does not support non-writable tensors. This means you can write to the underlying (supposedly non-writable) buffer using the tensor. You may want to copy the buffer to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:1581.)
  return torch.frombuffer(f.read(), dtype=torch.uint16)[256*2:]
DataLoader: found 1 files matching finewebedu10B/finewebedu_val_*.bin
Running in BF16 mode (no FP8 - RTX 3060 Ti)
Run ID: a99f82f1-58ad-45e4-9678-f42e8b823970
GPU: RTX 3060 Ti (8GB)
Config: batch_size=8, seq_len=12288, iters=7000
Tokens per step: 98,304
Total tokens: 688.1M
Val every 250 steps, checkpoint every 500 steps

Step	Loss	ValLoss	Time(ms)	kt/s	Window	ETA(m)
1	10.812	10.086	9017	10.9	256	1051.9
2	10.188		2727	36.0	256	318.1
3	9.438		2726	36.1	256	318.0
4	9.562		2736	35.9	256	319.1
5	8.500		2739	35.9	256	319.4
6	8.938		2740	35.9	256	319.4
7	8.688		2748	35.8	256	320.3
8	9.500		2751	35.7	256	320.6
9	8.250		2745	35.8	256	319.8
10	8.438		2743	35.8	256	319.6
11	8.312		2743	35.8	256	319.6
12	8.438		2755	35.7	256	320.9
13	8.062		2755	35.7	256	320.9
14	7.969		2754	35.7	256	320.7
15	7.844		2755	35.7	256	320.7
16	7.844		2756	35.7	256	320.8
17	8.000		2759	35.6	256	321.1
18	8.125		2756	35.7	256	320.8
19	7.844		2755	35.7	256	320.6
20	7.625		2753	35.7	256	320.3
21	7.812		2754	35.7	256	320.4
22	7.812		2756	35.7	256	320.6
23	8.188		2756	35.7	256	320.5
24	7.844		2754	35.7	256	320.2
25	7.875		2752	35.7	256	320.0
26	7.688		2755	35.7	256	320.3
27	8.125		2753	35.7	256	320.0
28	7.625		2761	35.6	256	320.9
29	7.906		2770	35.5	256	321.8
30	7.469		2769	35.5	256	321.7
31	7.781		2771	35.5	256	321.8
32	8.375		2773	35.4	256	322.1
33	8.688		2775	35.4	256	322.3
34	7.594		2768	35.5	256	321.4
35	7.625		2772	35.5	256	321.8
36	7.469		2770	35.5	256	321.6
37	7.656		2768	35.5	256	321.3
38	7.406		2769	35.5	256	321.4
39	7.781		2770	35.5	256	321.4
40	7.906		2769	35.5	256	321.2
41	7.719		2769	35.5	256	321.2
42	7.469		2772	35.5	256	321.5
43	7.781		2771	35.5	256	321.4
44	7.500		2769	35.5	256	321.1
45	7.469		2775	35.4	256	321.8
46	7.656		2778	35.4	256	322.0
47	7.344		2776	35.4	256	321.7
48	7.781		2773	35.4	256	321.4
49	7.531		2778	35.4	256	321.9
50	7.375		2769	35.5	256	320.8
51	7.656		2776	35.4	256	321.6
52	7.562		2776	35.4	256	321.5
53	7.250		2778	35.4	256	321.7
54	7.469		2775	35.4	256	321.3
55	7.344		2770	35.5	256	320.7
56	7.438		2767	35.5	256	320.3
57	7.188		2769	35.5	256	320.5
58	7.500		2770	35.5	256	320.5
59	7.281		2767	35.5	256	320.2
60	7.375		2769	35.5	256	320.3
61	6.938		2770	35.5	256	320.4
62	7.156		2768	35.5	256	320.1
63	7.031		2765	35.6	256	319.7
64	7.188		2769	35.5	256	320.2
65	6.969		2770	35.5	256	320.2
66	7.000		2768	35.5	256	320.0
67	6.906		2770	35.5	256	320.1
68	6.812		2773	35.4	256	320.4
69	7.188		2771	35.5	256	320.2
70	6.906		2770	35.5	256	320.0
71	6.688		2770	35.5	256	319.9
72	6.750		2771	35.5	256	320.0
73	6.906		2769	35.5	256	319.7
74	6.906		2770	35.5	256	319.8
75	6.906		2769	35.5	256	319.7
76	6.656		2770	35.5	256	319.7
77	7.094		2769	35.5	256	319.5
78	6.781		2771	35.5	256	319.7
79	6.812		2772	35.5	256	319.8
80	6.688		2769	35.5	256	319.4
81	6.750		2770	35.5	256	319.4
82	6.719		2770	35.5	256	319.4
83	6.719		2771	35.5	256	319.5
84	6.938		2772	35.5	256	319.6
85	6.281		2772	35.5	256	319.6
86	6.312		2770	35.5	256	319.3
87	6.656		2771	35.5	256	319.3
88	6.562		2772	35.5	256	319.4
89	6.750		2775	35.4	256	319.7
90	6.719		2771	35.5	256	319.2
91	6.719		2770	35.5	256	319.0
92	6.406		2767	35.5	256	318.6
93	6.281		2771	35.5	256	319.1
94	6.500		2768	35.5	256	318.6
95	6.125		2768	35.5	256	318.6
96	6.094		2769	35.5	256	318.7
97	6.250		2771	35.5	256	318.8
98	6.531		2775	35.4	256	319.2
99	5.969		2770	35.5	256	318.6
100	7.125		2774	35.4	256	319.1
101	6.781		2777	35.4	256	319.4
102	6.438		2769	35.5	256	318.4
103	6.719		2770	35.5	256	318.4
104	10.562		2775	35.4	256	318.9
