DataLoader: found 20 files matching finewebedu10B/finewebedu_train_*.bin
/workspace/nanoGPT_1GPU_SPEEDRUN/train_gpt2_3060ti.py:304: UserWarning: The given buffer is not writable, and PyTorch does not support non-writable tensors. This means you can write to the underlying (supposedly non-writable) buffer using the tensor. You may want to copy the buffer to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:1581.)
  return torch.frombuffer(f.read(), dtype=torch.uint16)[256*2:]
DataLoader: found 1 files matching finewebedu10B/finewebedu_val_*.bin
Running in BF16 mode (no FP8 - RTX 3060 Ti)
Run ID: 7d8bdb2b-ff88-44e0-819b-82c8cd584709
GPU: RTX 3060 Ti (8GB)
Config: batch_size=8, seq_len=12288, iters=7000
Tokens per step: 98,304
Total tokens: 688.1M
Val every 250 steps

Step	Loss	ValLoss	Time(ms)	kt/s	Window	ETA(m)
1	10.812	10.078	9148	10.7	256	1067.3
2	10.125		2749	35.8	256	320.7
3	9.250		2742	35.8	256	319.8
4	9.438		2742	35.8	256	319.8
5	8.562		2755	35.7	256	321.3
6	9.062		2754	35.7	256	321.1
7	8.688		2755	35.7	256	321.1
8	9.625		2762	35.6	256	321.9
9	8.188		2757	35.7	256	321.3
10	8.500		2762	35.6	256	321.8
11	8.438		2756	35.7	256	321.0
12	8.312		2761	35.6	256	321.6
13	8.375		2767	35.5	256	322.3
14	8.188		2763	35.6	256	321.7
15	8.125		2763	35.6	256	321.7
16	7.812		2778	35.4	256	323.4
17	8.500		2780	35.4	256	323.5
18	8.125		2774	35.4	256	322.8
19	7.719		2777	35.4	256	323.2
20	7.719		2770	35.5	256	322.3
21	7.906		2773	35.4	256	322.6
22	7.938		2779	35.4	256	323.2
23	8.125		2774	35.4	256	322.7
24	7.812		2788	35.3	256	324.2
25	7.719		2770	35.5	256	322.1
26	7.656		2775	35.4	256	322.6
27	7.938		2776	35.4	256	322.7
28	7.531		2774	35.4	256	322.4
29	7.969		2775	35.4	256	322.5
30	7.656		2780	35.4	256	323.0
31	7.812		2775	35.4	256	322.4
32	8.188		2776	35.4	256	322.5
33	8.438		2783	35.3	256	323.2
34	7.562		2772	35.5	256	321.9
35	7.500		2782	35.3	256	323.0
36	7.719		2775	35.4	256	322.1
37	7.625		2772	35.5	256	321.8
38	7.469		2781	35.3	256	322.8
39	7.562		2775	35.4	256	322.0
40	7.875		2773	35.5	256	321.7
41	7.562		2779	35.4	256	322.4
42	7.531		2775	35.4	256	321.9
43	7.281		2780	35.4	256	322.4
44	7.438		2777	35.4	256	322.0
45	7.156		2776	35.4	256	321.9
46	7.656		2778	35.4	256	322.0
47	7.344		2774	35.4	256	321.5
48	7.562		2775	35.4	256	321.6
49	7.438		2780	35.4	256	322.1
50	7.000		2773	35.5	256	321.2
51	7.844		2777	35.4	256	321.6
52	7.250		2781	35.4	256	322.1
53	7.406		2775	35.4	256	321.3
54	7.469		2779	35.4	256	321.7
55	7.656		2774	35.4	256	321.1
56	7.344		2773	35.5	256	321.0
57	7.094		2782	35.3	256	322.0
58	7.312		2777	35.4	256	321.3
59	7.219		2771	35.5	256	320.7
60	7.312		2779	35.4	256	321.5
61	7.000		2775	35.4	256	321.0
62	7.000		2774	35.4	256	320.9
63	6.969		2776	35.4	256	321.0
64	7.031		2774	35.4	256	320.7
65	7.156		2779	35.4	256	321.2
66	7.062		2774	35.4	256	320.6
67	6.875		2776	35.4	256	320.8
68	7.156		2782	35.3	256	321.4
69	7.031		2774	35.4	256	320.5
70	7.094		2778	35.4	256	320.9
71	7.125		2781	35.3	256	321.2
72	6.875		2773	35.5	256	320.2
73	7.188		2774	35.4	256	320.3
74	7.125		2780	35.4	256	321.0
75	6.812		2775	35.4	256	320.4
76	6.969		2776	35.4	256	320.4
77	6.938		2781	35.3	256	320.9
78	7.156		2774	35.4	256	320.1
79	6.625		2782	35.3	256	321.0
80	6.750		2776	35.4	256	320.2
81	6.562		2774	35.4	256	319.9
82	6.906		2777	35.4	256	320.2
83	6.719		2777	35.4	256	320.2
84	6.906		2780	35.4	256	320.4
85	6.406		2783	35.3	256	320.7
86	6.438		2775	35.4	256	319.8
87	6.656		2781	35.4	256	320.4
88	6.375		2777	35.4	256	319.9
89	6.812		2779	35.4	256	320.2
90	6.438		2781	35.3	256	320.3
91	6.500		2775	35.4	256	319.6
92	6.344		2772	35.5	256	319.2
93	6.250		2780	35.4	256	320.1
94	6.438		2773	35.5	256	319.2
95	6.188		2773	35.5	256	319.2
96	5.969		2777	35.4	256	319.6
97	6.438		2778	35.4	256	319.6
98	6.562		2782	35.3	256	320.1
99	6.188		2777	35.4	256	319.5
100	7.281		2779	35.4	256	319.6
101	7.000		2786	35.3	256	320.4
102	6.344		2777	35.4	256	319.3
103	6.656		2776	35.4	256	319.1
104	11.000		2784	35.3	256	320.0
105	6.188		2774	35.4	256	318.8
106	6.188		2776	35.4	256	319.0
107	5.844		2779	35.4	256	319.3
108	6.344		2782	35.3	256	319.6
109	6.312		2773	35.4	256	318.5
110	6.125		2786	35.3	256	320.0
111	6.406		2771	35.5	256	318.3
112	6.188		2780	35.4	256	319.2
113	6.062		2774	35.4	256	318.4
114	6.062		2773	35.5	256	318.3
115	5.875		2780	35.4	256	319.1
116	6.156		2772	35.5	256	318.1
117	6.062		2779	35.4	256	318.8
118	6.062		2779	35.4	256	318.8
119	6.188		2773	35.4	256	318.1
120	6.188		2771	35.5	256	317.8
121	6.344		2783	35.3	256	319.1
122	6.281		2775	35.4	256	318.1
123	6.625		2781	35.3	256	318.8
124	6.062		2771	35.5	256	317.6
125	6.031		2774	35.4	256	318.0
126	6.375		2786	35.3	256	319.2
127	6.250		2775	35.4	256	318.0
128	5.750		2771	35.5	256	317.4
129	5.781		2777	35.4	256	318.1
130	5.625		2774	35.4	256	317.6
131	5.625		2777	35.4	256	317.9
132	5.750		2789	35.2	256	319.3
133	5.719		2772	35.5	256	317.3
134	5.688		2775	35.4	256	317.6
135	5.688		2781	35.4	256	318.2
136	5.688		2775	35.4	256	317.5
137	5.750		2780	35.4	256	318.1
138	6.250		2775	35.4	256	317.4
139	6.156		2776	35.4	256	317.5
140	5.750		2778	35.4	256	317.7
141	5.844		2774	35.4	256	317.2
142	5.781		2774	35.4	256	317.1
143	5.719		2778	35.4	256	317.6
144	5.781		2776	35.4	256	317.3
145	5.625		2781	35.3	256	317.8
146	5.875		2775	35.4	256	317.0
147	5.688		2773	35.4	256	316.8
148	5.812		2779	35.4	256	317.4
149	5.875		2775	35.4	256	317.0
150	5.812		2775	35.4	256	316.8
151	5.719		2783	35.3	256	317.7
152	5.906		2773	35.4	256	316.6
153	5.625		2775	35.4	256	316.7
154	5.438		2779	35.4	256	317.1
155	5.406		2773	35.5	256	316.4
156	5.438		2778	35.4	256	316.9
157	5.562		2775	35.4	256	316.5
158	5.438		2774	35.4	256	316.4
159	5.375		2780	35.4	256	317.0
160	5.875		2774	35.4	256	316.2
161	5.688		2775	35.4	256	316.4
162	5.469		2782	35.3	256	317.1
163	5.844		2776	35.4	256	316.4
164	6.219		2775	35.4	256	316.2
165	5.469		2776	35.4	256	316.3
166	5.375		2776	35.4	256	316.3
167	5.719		2781	35.3	256	316.8
168	5.688		2775	35.4	256	316.0
169	5.469		2774	35.4	256	315.9
170	5.562		2781	35.4	256	316.6
171	5.281		2776	35.4	256	316.0
172	5.219		2775	35.4	256	315.8
173	5.500		2778	35.4	256	316.1
174	5.562		2775	35.4	256	315.7
175	5.625		2777	35.4	256	316.0
176	5.688		2782	35.3	256	316.5
177	6.000		2780	35.4	256	316.1
178	5.250		2779	35.4	256	316.1
179	5.594		2776	35.4	256	315.7
180	5.594		2777	35.4	256	315.7
181	5.250		2780	35.4	256	316.0
182	5.344		2774	35.4	256	315.2
183	5.500		2774	35.4	256	315.2
184	5.219		2780	35.4	256	315.8
185	5.344		2776	35.4	256	315.3
186	5.125		2777	35.4	256	315.4
187	5.406		2779	35.4	256	315.6
188	5.125		2775	35.4	256	315.1
189	5.500		2785	35.3	256	316.1
190	5.406		2776	35.4	256	315.2
191	5.250		2775	35.4	256	314.9
192	5.688		2780	35.4	256	315.5
193	5.375		2778	35.4	256	315.2
194	5.469		2778	35.4	256	315.2
195	5.344		2783	35.3	256	315.7
196	5.406		2774	35.4	256	314.7
197	5.125		2776	35.4	256	314.8
198	5.156		2782	35.3	256	315.4
199	5.281		2776	35.4	256	314.7
200	5.094		2785	35.3	256	315.7
201	5.188		2778	35.4	256	314.8
202	5.062		2773	35.4	256	314.2
203	5.156		2784	35.3	256	315.5
204	5.594		2780	35.4	256	314.9
205	5.281		2777	35.4	256	314.5
206	5.281		2782	35.3	256	315.1
207	5.250		2776	35.4	256	314.3
208	5.281		2776	35.4	256	314.3
209	5.531		2784	35.3	256	315.2
210	5.000		2778	35.4	256	314.4
211	5.156		2781	35.4	256	314.7
212	5.219		2776	35.4	256	314.1
213	5.312		2777	35.4	256	314.2
214	5.281		2782	35.3	256	314.7
215	4.844		2777	35.4	256	314.1
216	5.125		2778	35.4	256	314.1
217	5.406		2780	35.4	256	314.3
218	4.938		2776	35.4	256	313.8
219	5.219		2783	35.3	256	314.6
220	4.906		2776	35.4	256	313.8
221	5.188		2777	35.4	256	313.8
222	5.594		2783	35.3	256	314.5
223	5.219		2777	35.4	256	313.7
224	5.438		2782	35.3	256	314.2
225	5.375		2782	35.3	256	314.2
226	5.375		2778	35.4	256	313.6
227	5.438		2775	35.4	256	313.4
228	4.969		2782	35.3	256	314.1
229	5.312		2779	35.4	256	313.6
230	5.250		2777	35.4	256	313.4
231	5.000		2782	35.3	256	313.9
232	5.094		2776	35.4	256	313.2
233	5.438		2785	35.3	256	314.1
234	4.156		2779	35.4	256	313.4
235	5.156		2777	35.4	256	313.1
236	5.594		2782	35.3	256	313.7
237	5.781		2777	35.4	256	313.0
238	5.000		2777	35.4	256	313.0
239	4.781		2782	35.3	256	313.5
240	5.125		2786	35.3	256	313.9
241	5.250		2777	35.4	256	312.9
242	5.000		2782	35.3	256	313.4
243	5.062		2778	35.4	256	312.8
244	4.969		2784	35.3	256	313.5
245	5.406		2778	35.4	256	312.8
246	5.250		2776	35.4	256	312.5
247	4.906		2784	35.3	256	313.3
248	4.969		2777	35.4	256	312.5
249	5.656		2779	35.4	256	312.7
250	5.250		2786	35.3	256	313.5
251	5.281	5.371	2776	35.4	256	312.3
252	5.312		2779	35.4	256	312.5
253	5.500		2776	35.4	256	312.2
254	5.406		2782	35.3	256	312.8
255	5.000		2774	35.4	256	311.9
256	5.188		2774	35.4	256	311.8
257	5.156		2783	35.3	256	312.8
258	5.094		2778	35.4	256	312.2
259	5.094		2778	35.4	256	312.2
260	5.156		2779	35.4	256	312.2
261	5.125		2775	35.4	256	311.7
262	5.281		2786	35.3	256	312.9
263	5.188		2778	35.4	256	311.9
264	5.438		2776	35.4	256	311.7
265	5.156		2780	35.4	256	312.1
266	5.281		2779	35.4	256	312.0
267	5.219		2778	35.4	256	311.8
268	5.406		2781	35.3	256	312.1
269	4.625		2777	35.4	256	311.6
270	5.500		2783	35.3	256	312.2
271	5.094		2779	35.4	256	311.7
272	5.281		2781	35.3	256	311.9
273	5.094		2780	35.4	256	311.8
274	5.250		2778	35.4	256	311.5
275	5.250		2775	35.4	256	311.1
276	5.094		2781	35.4	256	311.7
277	5.344		2783	35.3	256	311.9
278	5.281		2778	35.4	256	311.3
279	5.156		2782	35.3	256	311.6
280	5.812		2779	35.4	256	311.3
281	5.000		2784	35.3	256	311.8
282	5.125		2779	35.4	256	311.2
283	5.125		2777	35.4	256	311.0
284	5.125		2785	35.3	256	311.8
285	5.156		2780	35.4	256	311.1
286	5.125		2777	35.4	256	310.8
287	5.000		2782	35.3	256	311.3
288	4.969		2779	35.4	256	311.0
289	4.938		2779	35.4	256	310.9
290	5.188		2782	35.3	256	311.1
291	4.906		2776	35.4	256	310.4
292	4.844		2785	35.3	256	311.4
293	4.875		2778	35.4	256	310.6
294	4.750		2775	35.4	256	310.3
295	5.156		2787	35.3	256	311.5
296	5.062		2777	35.4	256	310.3
297	4.969		2777	35.4	256	310.3
298	5.031		2784	35.3	256	311.0
299	4.750		2777	35.4	256	310.2
300	4.812		2777	35.4	256	310.2
301	5.281		2785	35.3	256	311.0
302	5.188		2778	35.4	256	310.2
303	4.969		2777	35.4	256	310.0
304	5.062		2783	35.3	256	310.6
305	5.094		2775	35.4	256	309.7
306	5.062		2782	35.3	256	310.4
307	4.875		2776	35.4	256	309.7
308	4.781		2779	35.4	256	310.0
309	5.000		2781	35.3	256	310.2
310	5.000		2778	35.4	256	309.8
311	5.188		2776	35.4	256	309.5
312	4.938		2782	35.3	256	310.1
313	4.750		2777	35.4	256	309.6
314	4.719		2778	35.4	256	309.6
315	4.812		2780	35.4	256	309.8
316	4.938		2776	35.4	256	309.3
